"","tractvec"
"1","000400"
"2","000901"
"3","040504"
"4","000700"
"5","020500"
"6","010205"
"7","010111"
"8","010307"
"9","020600"
"10","030300"
"11","010109"
"12","010306"
"13","000601"
"14","040504"
"15","030110"
"16","040506"
"17","000204"
"18","040507"
"19","040507"
"20","010109"
"21","040505"
"22","001004"
"23","040502"
"24","000802"
"25","010303"
"26","000904"
"27","020600"
"28","040506"
"29","040506"
"30","010308"
"31","010109"
"32","010205"
"33","040504"
"34","040507"
"35","030106"
"36","010303"
"37","000801"
"38","000801"
"39","010109"
"40","000501"
"41","040504"
"42","040501"
"43","040502"
"44","000903"
"45","040501"
"46","040506"
"47","000904"
"48","040506"
"49","040505"
"50","010206"
"51","030109"
"52","000100"
"53","000204"
"54","020500"
"55","040507"
"56","040504"
"57","040507"
"58","040502"
"59","040507"
"60","040504"
"61","030111"
"62","010303"
"63","030110"
"64","030110"
"65","030111"
"66","000802"
"67","010308"
"68","040800"
"69","040506"
"70","010303"
"71","010308"
"72","010110"
"73","000903"
"74","030108"
"75","040800"
"76","040800"
"77","040800"
"78","040800"
"79","030108"
"80","020500"
"81","040501"
"82","020300"
"83","010303"
"84","000904"
"85","010206"
"86","010206"
"87","010308"
"88","010206"
"89","030108"
"90","000602"
"91","001003"
"92","030300"
"93","010110"
"94","000802"
"95","000400"
"96","040509"
"97","030109"
"98","030400"
"99","030110"
"100","010201"
"101","030300"
"102","010303"
"103","040506"
"104","040502"
"105","020500"
"106","040502"
"107","010205"
"108","010206"
"109","010110"
"110","040504"
"111","030400"
"112","040504"
"113","040504"
"114","020400"
"115","000903"
"116","030110"
"117","040504"
"118","040504"
"119","040504"
"120","040505"
"121","030110"
"122","000601"
"123","040506"
"124","030300"
"125","040507"
"126","000100"
"127","010308"
"128","030400"
"129","010308"
"130","010308"
"131","001004"
"132","020500"
"133","010109"
"134","020600"
"135","020600"
"136","000904"
"137","010109"
"138","010201"
"139","040502"
"140","040504"
"141","040504"
"142","010109"
"143","030110"
"144","040504"
"145","020600"
"146","040504"
"147","010303"
"148","010303"
"149","010303"
"150","040504"
"151","000903"
"152","040507"
"153","000602"
"154","040507"
"155","000904"
"156","000801"
"157","010206"
"158","040505"
"159","010303"
"160","000300"
"161","040504"
"162","000904"
"163","010109"
"164","000400"
"165","000400"
"166","010205"
"167","010205"
"168","020500"
"169","000204"
"170","040800"
"171","000100"
"172","040504"
"173","040504"
"174","000802"
"175","010201"
"176","000904"
"177","000901"
"178","000203"
"179","020300"
"180","040502"
"181","000904"
"182","040507"
"183","000801"
"184","000700"
"185","010303"
"186","020700"
"187","010206"
"188","040506"
"189","040504"
"190","030106"
"191","020500"
"192","030400"
