,tractvec
695,400
696,100
697,10308
698,203
699,502
700,904
701,10308
702,204
703,100
704,901
705,904
706,400
707,501
708,40509
709,40509
710,40504
711,40504
712,901
713,40509
714,40501
715,40504
716,1004
717,40509
718,10303
719,40509
720,1004
721,40504
722,204
723,40506
724,400
725,100
726,901
727,40509
728,10306
729,400
730,40509
731,100
732,40505
733,40501
734,40509
735,802
736,10308
737,802
738,10307
739,1003
740,204
741,40504
742,40509
743,100
744,40505
745,40509
746,40509
747,204
748,10109
749,100
750,1004
751,40509
752,10308
753,10109
754,40700
755,40506
756,904
757,40509
758,204
759,1004
760,904
761,40509
762,40505
763,10109
764,501
765,10109
766,802
767,901
768,801
769,901
770,40505
771,100
772,901
773,40505
774,40509
775,40509
776,801
777,203
778,40509
779,40504
780,40504
781,10303
782,40509
783,10303
784,802
785,40505
786,40501
787,40501
788,601
789,40504
790,40506
791,10307
792,1003
793,10111
794,40509
795,203
796,802
797,1003
798,40505
799,40504
800,10306
801,802
802,204
803,802
804,203
805,10308
806,40506
807,100
808,40509
809,100
810,40501
811,602
812,602
813,203
814,10308
815,40509
816,901
817,40501
818,40501
819,40509
820,40504
821,400
822,903
823,100
824,40504
825,40505
826,204
827,40506
828,801
829,904
830,10308
831,40509
832,204
833,40509
834,802
835,100
836,1003
837,203
838,501
839,501
840,40501
841,40506
842,300
843,901
844,300
845,40504
846,40506
847,40509
848,40506
849,40509
850,501
851,10307
852,40509
853,100
854,40506
855,400
856,10306
857,400
858,10303
859,40506
860,802
861,10303
862,40509
863,40505
864,501
865,40504
866,10308
867,901
868,40501
869,203
870,40509
871,40509
872,40509
873,40509
874,40509
875,40509
876,40501
877,1004
878,904
879,40505
880,901
881,40509
882,10307
883,10308
884,40509
885,502
886,901
887,602
888,801
889,802
890,40501
891,40509
892,203
893,10308
894,203
895,10303
896,802
897,1004
898,40505
899,40506
900,203
901,10303
902,801
903,40509
904,40504
905,1003
906,40506
907,40504
908,40509
909,802
910,501
911,40509
912,802
913,802
